id_cliente,evadido,genero,es_adulto_mayor,tiene_pareja,tiene_dependientes,meses_en_empresa,servicio_telefonico,lineas_multiples,tipo_internet,internet.OnlineSecurity,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,tv_streaming,peliculas_streaming,tipo_contrato,facturacion_electronica,metodo_pago,cargo_mensual,cargo_total,cargo_diario,evadido_etiqueta,adulto_mayor
1228-ZLNBX,0,Male,0,0,0,21,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,75.3,1570.7,2.51,No,No
1229-RCALF,0,Female,0,1,0,64,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,115.0,7396.15,3.8333333333333335,No,No
1230-QAJDW,0,Male,0,0,0,3,1,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,65.25,209.9,2.175,No,No
1231-YNDEK,0,Male,0,0,0,58,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.15,1035.5,0.6383333333333333,No,No
1236-WFCDV,1,Male,1,0,0,14,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Credit card (automatic),90.45,1266.1,3.015,Sí,Sí
1237-WIYYZ,0,Female,0,0,0,18,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.55,389.25,0.6516666666666667,No,No
1240-HCBOH,0,Female,0,0,0,67,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,26.1,1759.55,0.87,No,No
1240-KNSEZ,1,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.1,20.1,0.67,Sí,No
1241-EZFMJ,0,Male,0,1,0,61,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.45,1538.6,0.8483333333333333,No,No
1241-FPMOF,0,Male,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.65,1025.05,0.6549999999999999,No,No
1245-HARPS,0,Female,0,1,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.4,292.4,0.6799999999999999,No,No
1247-QBVSH,0,Female,0,1,1,43,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.2,2169.4,1.6733333333333333,No,No
1248-DYXUB,0,Male,0,1,1,52,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,24.8,1229.1,0.8266666666666667,No,No
1251-KRREG,1,Male,0,0,0,2,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,54.4,114.1,1.8133333333333332,Sí,No
1251-STYSZ,0,Female,1,0,0,4,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,80.25,303.7,2.675,No,Sí
1254-IZEYF,1,Female,1,0,0,31,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.95,3186.65,3.3316666666666666,Sí,Sí
1257-SXUXQ,0,Male,0,1,1,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.45,86.05,0.6483333333333333,No,No
1258-YMZNM,0,Female,1,0,0,27,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),110.5,2857.6,3.683333333333333,No,Sí
1260-TTRXI,1,Male,0,0,0,4,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,54.3,195.3,1.8099999999999998,Sí,No
1261-FWTTE,0,Male,1,0,0,23,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),34.65,768.45,1.155,No,Sí
1262-OPMFY,1,Female,0,1,0,9,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,655.9,2.525,Sí,No
1264-BYWMS,1,Male,0,0,0,55,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,96.8,5283.95,3.2266666666666666,Sí,No
1264-FUHCX,0,Female,0,1,0,49,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),56.3,2780.6,1.8766666666666665,No,No
1265-BCFEO,0,Female,0,1,0,71,1,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),80.45,5662.25,2.6816666666666666,No,No
1265-HVPZB,0,Male,0,1,0,59,1,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,0,Credit card (automatic),66.4,3958.2,2.2133333333333334,No,No
1265-XTECC,1,Female,1,1,0,68,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Credit card (automatic),96.55,6581.9,3.2183333333333333,Sí,Sí
1265-ZFOSD,0,Female,0,1,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Mailed check,81.3,5129.3,2.71,No,No
1266-NZYUI,0,Female,0,1,1,72,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),66.85,4758.8,2.228333333333333,No,No
1268-ASBGA,1,Female,1,1,0,16,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),85.35,1375.15,2.8449999999999998,Sí,Sí
1269-FOYWN,0,Male,0,1,1,44,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.0,860.85,0.6666666666666666,No,No
1270-XKUCC,0,Female,0,1,1,30,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.7,599.25,0.6566666666666666,No,No
1271-SJBGZ,1,Male,1,0,0,12,0,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,1,Electronic check,43.65,526.95,1.4549999999999998,Sí,Sí
1271-UODNO,0,Male,0,0,0,39,1,Yes,DSL,No,No,No,Yes,No,No,Two year,1,Credit card (automatic),53.85,2200.7,1.7950000000000002,No,No
1272-ILHFG,0,Male,0,1,1,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.65,332.65,0.6549999999999999,No,No
1273-MTETI,1,Female,1,0,0,4,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,88.85,372.45,2.9616666666666664,Sí,Sí
1282-IHQAC,0,Male,1,0,0,70,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),44.05,3011.65,1.4683333333333333,No,Sí
1285-OKIPP,1,Male,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,2.6633333333333336,Sí,No
1291-CUOCY,0,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.6,7962.2,3.6866666666666665,No,No
1293-BSEUN,0,Female,0,1,1,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.7,1482.3,0.69,No,No
1293-HHSHJ,0,Female,0,0,0,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,21.1,741.0,0.7033333333333334,No,No
1297-VQDRP,0,Male,1,1,1,68,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),107.15,7379.8,3.5716666666666668,No,Sí
1298-PHBTI,0,Male,0,1,1,71,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,1,Electronic check,84.8,6152.4,2.8266666666666667,No,No
1299-AURJA,0,Female,0,1,1,70,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),24.7,1685.9,0.8233333333333334,No,No
1301-LOPVR,0,Male,0,1,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),55.35,1636.95,1.845,No,No
1302-TPUBN,0,Male,0,0,0,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.35,1240.8,0.645,No,No
1302-UHBDD,0,Male,1,0,0,20,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,89.95,1648.45,2.9983333333333335,No,Sí
1303-SRDOK,0,Female,0,1,1,55,1,No,Fiber optic,No,No,No,No,No,No,Two year,1,Credit card (automatic),69.05,3842.6,2.3016666666666667,No,No
1304-BCCFO,0,Male,0,1,0,9,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Mailed check,70.05,564.4,2.335,No,No
1304-NECVQ,1,Female,1,0,0,2,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.55,149.55,2.618333333333333,Sí,Sí
1304-SEGFY,0,Female,0,1,0,72,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,1,Electronic check,97.85,6841.3,3.2616666666666663,No,No
1306-RPWXZ,0,Female,0,0,1,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.45,1024.65,0.6816666666666666,No,No
1307-ATKGB,0,Male,0,0,0,24,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,89.55,2187.15,2.985,No,No
1307-TVUFB,0,Male,1,0,0,42,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.35,3344.1,2.645,No,Sí
1309-BXVOQ,1,Male,0,1,0,21,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.1,2249.95,3.5366666666666666,Sí,No
1309-XGFSN,0,Male,1,1,1,52,1,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,80.85,4079.55,2.695,No,Sí
1310-QRITU,0,Female,0,0,0,18,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.3,913.3,1.6766666666666665,No,No
1319-YLZJG,0,Male,0,1,0,12,1,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,84.6,959.9,2.82,No,No
1320-GVNHT,0,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),108.4,7767.25,3.6133333333333337,No,No
1320-HTRDR,1,Female,0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.5,220.6,2.5166666666666666,Sí,No
1320-REHCS,0,Male,1,0,0,52,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.75,5832.0,3.691666666666667,No,Sí
1322-AGOQM,1,Male,0,0,0,46,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.3,1380.1,1.01,Sí,No
1323-OOEPC,1,Female,0,1,0,53,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),98.4,5149.5,3.2800000000000002,Sí,No
1324-NLTJE,1,Female,1,0,0,15,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),55.0,757.1,1.8333333333333333,Sí,Sí
1325-USMEC,0,Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Credit card (automatic),99.35,6944.5,3.3116666666666665,No,No
1328-EUZHC,0,Female,0,1,0,18,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.1,370.5,0.67,No,No
1329-VHWNP,0,Female,0,0,0,7,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),25.05,189.95,0.8350000000000001,No,No
1333-PBMXB,0,Female,0,1,1,54,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.75,1342.15,0.825,No,No
1334-FJSVR,1,Male,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.25,24.25,0.8083333333333333,Sí,No
1334-PDUKM,0,Female,0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,0,Credit card (automatic),86.45,5762.95,2.881666666666667,No,No
1335-HQMKX,0,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,101.35,7323.15,3.378333333333333,No,No
1335-MXCSE,0,Male,0,1,1,55,1,No,DSL,No,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),55.25,3119.9,1.8416666666666666,No,No
1335-NTIUC,0,Male,0,0,0,9,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.95,190.25,0.8316666666666667,No,No
1336-EZFZY,0,Female,0,0,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,83.3,0.6683333333333333,No,No
1337-BOZWO,0,Male,0,1,1,18,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,0,Credit card (automatic),46.4,812.4,1.5466666666666666,No,No
1338-CECEE,0,Male,0,1,1,41,1,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),68.5,2839.95,2.283333333333333,No,No
1342-JPNKI,1,Male,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),86.05,834.1,2.868333333333333,Sí,No
1343-EHPYB,1,Male,0,1,0,63,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.4,6603.0,3.4466666666666668,Sí,No
1345-GKDZZ,0,Male,0,0,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,128.6,0.6516666666666667,No,No
1345-ZUKID,0,Male,0,0,0,14,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.35,324.8,0.645,No,No
1346-PJWTK,0,Male,0,1,0,61,1,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,0,Credit card (automatic),94.15,5731.85,3.1383333333333336,No,No
1346-UFHAX,0,Female,0,0,0,13,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),80.0,1029.35,2.6666666666666665,No,No
1347-KTTTA,0,Male,0,1,0,64,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),102.45,6654.1,3.415,No,No
1349-WXNGG,1,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.05,20.05,0.6683333333333333,Sí,No
1352-HNSAW,0,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.6,8220.4,3.853333333333333,No,No
1352-VHKAJ,0,Male,0,1,1,27,1,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),71.6,1957.1,2.3866666666666663,No,No
1353-GHZOS,0,Male,0,1,0,22,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),59.75,1374.35,1.9916666666666667,No,No
1353-LJWEM,0,Male,0,0,0,11,1,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,1,Electronic check,60.9,688.5,2.03,No,No
1354-YZFNB,0,Male,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.55,68.8,0.6516666666666667,No,No
1355-KUSBG,0,Female,0,1,1,7,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,48.8,349.8,1.6266666666666665,No,No
1356-MKYSK,0,Male,0,0,0,6,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Credit card (automatic),78.65,483.3,2.621666666666667,No,No
1357-BIJKI,0,Male,0,1,0,50,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Electronic check,98.25,4858.7,3.275,No,No
1357-MVDOZ,0,Male,0,1,1,11,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),59.65,683.25,1.9883333333333333,No,No
1360-JYXKQ,0,Female,1,1,0,54,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.1,5437.1,3.3033333333333332,No,Sí
1360-RCYRT,0,Male,0,1,1,23,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),30.35,678.75,1.0116666666666667,No,No
1360-XFJMR,0,Female,0,1,0,67,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),109.7,7344.45,3.6566666666666667,No,No
1363-TXLSL,1,Male,1,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.3,70.3,2.3433333333333333,Sí,Sí
1370-GGAWX,0,Female,0,0,0,46,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Electronic check,94.15,4408.45,3.1383333333333336,No,No
1371-DWPAZ,0,Female,0,1,1,0,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),56.05,,1.8683333333333332,No,No
1371-OJCEK,0,Female,0,0,0,48,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.35,1133.7,0.8116666666666668,No,No
1371-WEPDS,0,Male,1,1,0,40,1,No,DSL,No,No,No,No,No,Yes,One year,0,Electronic check,55.8,2283.3,1.8599999999999999,No,Sí
1373-ORVIZ,1,Female,0,1,1,11,1,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,1,Electronic check,66.35,740.8,2.2116666666666664,Sí,No
1374-DMZUI,1,Female,1,0,0,4,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.3,424.45,3.143333333333333,Sí,Sí
1376-HHBDV,0,Female,0,0,0,30,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,48.8,1536.75,1.6266666666666665,No,No
1379-FRVEB,0,Male,0,0,1,15,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,91.0,1430.05,3.033333333333333,No,No
1383-EZRWL,1,Female,0,0,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,164.85,0.6683333333333333,Sí,No
1384-RCUXW,0,Male,0,0,0,16,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,80.55,1248.9,2.685,No,No
1385-TQOZW,0,Female,0,0,0,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.45,147.55,0.6816666666666666,No,No
1386-ZIKUV,0,Male,0,0,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,18.95,130.55,0.6316666666666666,No,No
1389-CXMLU,1,Male,1,0,0,3,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,91.05,289.1,3.0349999999999997,Sí,Sí
1389-WNUIB,0,Female,0,1,1,20,1,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,0,Bank transfer (automatic),76.0,1588.75,2.533333333333333,No,No
1391-UBDAR,0,Male,0,0,0,11,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,0,Electronic check,72.9,818.45,2.43,No,No
1393-IMKZG,0,Female,0,0,0,1,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,95.85,95.85,3.195,No,No
1394-SUIUH,0,Female,1,1,0,44,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,85.15,3670.5,2.8383333333333334,No,Sí
1395-OFUWC,0,Male,0,1,1,43,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),29.3,1224.05,0.9766666666666667,No,No
1395-WSWXR,0,Male,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.75,487.05,0.6916666666666667,No,No
1396-QWFBJ,1,Female,0,1,1,21,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),74.05,1565.7,2.4683333333333333,Sí,No
1397-XKKWR,0,Male,0,0,0,7,0,No phone service,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,35.3,264.8,1.1766666666666665,No,No
1399-OUPJN,0,Female,0,1,1,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,1272.05,0.6583333333333333,No,No
1399-UBQIU,0,Male,0,0,0,11,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,69.35,712.25,2.3116666666666665,No,No
1400-MMYXY,1,Male,1,1,0,3,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,105.9,334.65,3.5300000000000002,Sí,Sí
1400-WIVLL,0,Male,0,1,0,57,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Electronic check,107.95,5969.85,3.5983333333333336,No,No
1401-FTHFQ,0,Male,0,1,1,23,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.0,445.3,0.6666666666666666,No,No
1402-PTHGN,0,Female,0,1,1,18,1,No,DSL,Yes,Yes,No,Yes,No,No,One year,1,Mailed check,61.5,1087.45,2.05,No,No
1403-GYAFU,0,Male,0,1,1,70,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.05,1360.25,0.6683333333333333,No,No
1403-LKLIK,0,Female,0,1,1,33,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.1,579.4,0.67,No,No
1406-PUQVY,0,Male,0,0,1,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,49.9,49.9,1.6633333333333333,No,No
1407-DIGZV,0,Female,0,1,1,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.1,52.0,0.6366666666666667,No,No
1409-PHXTF,0,Male,1,1,0,54,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.45,6077.75,3.6816666666666666,No,Sí
1410-RSCMR,0,Male,0,1,1,7,1,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,1,Credit card (automatic),71.35,515.75,2.378333333333333,No,No
1414-YADCW,0,Male,0,1,0,70,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),84.6,5706.2,2.82,No,No
1415-YFWLT,1,Female,1,0,0,1,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,89.3,89.3,2.9766666666666666,Sí,Sí
1421-HCERK,0,Male,1,1,0,30,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),105.7,3181.8,3.5233333333333334,No,Sí
1422-DGUBX,0,Male,0,1,0,32,1,Yes,Fiber optic,No,No,No,Yes,No,No,One year,1,Electronic check,79.25,2619.15,2.6416666666666666,No,No
1423-BMPBQ,0,Female,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.0,19.0,0.6333333333333333,No,No
1427-VERSM,0,Female,0,1,0,56,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,98.7,5669.5,3.29,No,No
1428-GTBJJ,1,Male,0,0,0,11,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.55,824.75,2.485,Sí,No
1428-IEDPR,0,Male,0,0,0,52,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.3,5731.4,3.643333333333333,No,No
1429-UYJSV,0,Female,0,0,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.7,260.9,0.6566666666666666,No,No
1430-SFQSA,0,Male,0,0,0,29,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,0,Mailed check,35.6,1072.6,1.1866666666666668,No,No
1431-AIDJQ,0,Male,0,1,1,33,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),82.1,2603.1,2.7366666666666664,No,No
1431-CYWMH,0,Female,0,1,1,22,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.05,454.05,0.635,No,No
1432-FPAXX,1,Female,0,0,0,29,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,30.6,856.35,1.02,Sí,No
1436-ZMJAN,0,Female,0,1,0,10,1,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),67.8,653.15,2.26,No,No
1439-LCGVL,0,Female,0,1,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.2,459.6,0.64,No,No
1442-BQPVU,0,Female,0,0,0,13,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,29.15,357.15,0.9716666666666666,No,No
1442-OKRJE,0,Male,0,1,1,66,1,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),103.15,7031.3,3.4383333333333335,No,No
1444-VVSGW,1,Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.65,7968.85,3.855,Sí,No
1447-GIQMR,1,Male,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.15,69.15,2.305,Sí,No
1447-PJGGA,1,Female,0,0,0,57,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,1,Electronic check,95.25,5464.65,3.175,Sí,No
1448-CYWKC,0,Female,0,1,1,58,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.2,6225.4,3.506666666666667,No,No
1448-PWKYE,1,Male,0,1,1,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,80.0,80.0,2.6666666666666665,Sí,No
1449-XQEMT,1,Male,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.8,58.15,0.66,Sí,No
1450-GALXR,1,Female,0,0,0,10,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,98.5,1058.25,3.283333333333333,Sí,No
1450-SKCVI,1,Female,0,0,0,56,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,73.85,4092.85,2.4616666666666664,Sí,No
1452-KIOVK,0,Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,2.9699999999999998,No,No
1452-UZOSF,0,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),106.1,7548.6,3.5366666666666666,No,No
